,Sailboat,Price,Location,Broker,length,year,url,created_date
48,Hunter 410,"US$88,580","aprilia marittima, Friuli-Venezia Giulia, Italy",Pedetti Yacht,41 ft,2002,https://www.yachtworld.com/yacht/2002-hunter-410-8401050/,2022-07-18
49,Hunter 410,"US$89,000","Curacao, Netherlands Antilles",Yacht Broker Caribbean,41 ft,2000,https://www.yachtworld.com/yacht/2000-hunter-410-8516277/,2022-09-27
50,Hunter 40.5 Legend,"US$98,500","Holland, Michigan, United States","Starboard Yachts, Inc.",40 ft,1993,https://www.yachtworld.com/yacht/1993-hunter-40.5-legend-8283587/,2022-04-14
51,Hunter Legend 40.5,"US$67,978","Lefkas, Greece",Williams & Smithells UK,40 ft,1994,https://www.yachtworld.com/yacht/1994-hunter-legend-40.5-8518882/,2022-09-29
52,Marlow-Hunter 40,"US$245,000","Edgewater, Maryland, United States",Crusader Yacht Sales,40 ft,2015,https://www.yachtworld.com/yacht/2015-marlow--hunter-40-8464087/,2022-08-25
53,Hunter 40.5,"US$95,000","Westport, Connecticut, United States",Venture Yachting Sales & Brokerage,40 ft,1996,https://www.yachtworld.com/yacht/1996-hunter-40.5-8513435/,2022-09-25
54,Hunter Legend 40 Sailboat,"US$49,900","Knoxville, Tennessee, United States",Harbortowne Marine,40 ft,1987,https://www.yachtworld.com/yacht/1987-hunter-legend-40-sailboat-8484825/,2022-09-08
55,Hunter Legend 40,"US$54,000","Saint Augustine, Florida, United States",St. Augustine Yacht Sales,40 ft,1985,https://www.yachtworld.com/yacht/1985-hunter-legend-40-8502411/,2022-09-19
56,Hunter Legend 40.5,"US$89,000","Richmond, California, United States",Marotta Yachts of Sausalito,40 ft,1996,https://www.yachtworld.com/yacht/1996-hunter-legend-40.5-8532986/,2022-10-09
57,Marlow-Hunter 40,"US$240,404","Vancouver, British Columbia, Canada",Grand Yachts Inc.,40 ft,2014,https://www.yachtworld.com/yacht/2014-marlow--hunter-40-8271793/,2022-04-04
58,Hunter 40 Legent,"US$48,500","Galesville, Maryland, United States",Hartge Yacht Sales,40 ft,1984,https://www.yachtworld.com/yacht/1984-hunter-40-legent-8344345/,2022-06-04
59,Marlow-Hunter MH37,"US$205,000","Duluth, Minnesota, United States",Barker's Island Marina,39 ft,2016,https://www.yachtworld.com/yacht/2016-marlow--hunter-mh37-8493180/,2022-09-13
60,Hunter 37.5,"US$64,900","Galesville, Maryland, United States",Integrity Yacht Sales,37 ft,1994,https://www.yachtworld.com/yacht/1994-hunter-37.5-8485305/,2022-09-08
61,Hunter e33,"US$108,579","Toronto, Ontario, Canada",United City Yachts inc.,33 ft,2013,https://www.yachtworld.com/yacht/2013-hunter-e33-8488852/,2022-09-09
62,Hunter 49,"US$233,190","Midland, Ontario, Canada",United City Yachts inc.,49 ft,2007,https://www.yachtworld.com/yacht/2007-hunter-49-8520432/,2022-09-30
63,Hunter 340,"US$55,000","La Paz, Mexico",Sma Yachts,34 ft,1997,https://www.yachtworld.com/yacht/1997-hunter-340-7920246/,2021-06-17
64,Hunter 23.5,"US$9,900","Niceville, Florida, United States","Bluewater Bay Yachts, Inc.",23 ft,1993,https://www.yachtworld.com/yacht/1993-hunter-23.5-8263554/,2022-03-28
65,Hunter Legend 40,"US$54,000","Saint Augustine, Florida, United States",St. Augustine Yacht Sales,40 ft,1985,https://www.yachtworld.com/yacht/1985-hunter-legend-40-8502411/,2022-09-19
66,Hunter 30-2,"US$28,900","Treasure Island, Florida, United States",Professional Yacht Sales International,30 ft,1989,https://www.yachtworld.com/yacht/1989-hunter-30--2-8446434/,2022-08-13
67,Hunter 27,"US$34,900","Newburyport, Massachusetts, United States",Advantage Yacht Sales,27 ft,2005,https://www.yachtworld.com/yacht/2005-hunter-27-933817/,2007-10-25
68,Hunter 376,"US$69,900","Kemah, Texas, United States",Murray Yacht Sales - Houston,37 ft,1996,https://www.yachtworld.com/yacht/1996-hunter-376-8331542/,2022-05-24
69,Hunter 37.5,"US$64,999","Pensacola, Florida, United States",Myers Yacht Sales,38 ft,1995,https://www.yachtworld.com/yacht/1995-hunter-37.5-8419329/,2022-07-28
70,Hunter 35.5,"US$50,937","Québec, Quebec, Canada",Courtage BLyacht,35 ft,1991,https://www.yachtworld.com/yacht/1991-hunter-35.5-8393794/,2022-07-12
71,Hunter 33,"US$19,900","Belhaven, North Carolina, United States",Park Boat Companies Brokerage Division,33 ft,1977,https://www.yachtworld.com/yacht/1977-hunter-33-8290402/,2022-04-20
72,Hunter 33.5,"US$45,000","Sodus Point, New York, United States",RCR Sodus Point,33 ft,1994,https://www.yachtworld.com/yacht/1994-hunter-33.5-8521867/,2022-10-01
73,Hunter 33,"US$64,900","Alameda, California, United States",Sail California,33 ft,2004,https://www.yachtworld.com/yacht/2004-hunter-33-8497064/,2022-09-15
74,Hunter 430 Owners A/C Gen,"US$58,702","Dalmatia, Croatia",Selymar Yachts,43 ft,1997,https://www.yachtworld.com/yacht/1997-hunter-430-owners-a-c-gen-8403964/,2022-07-20
75,Hunter 306,"US$38,867","Barcaldine, Argyll & Bute, United Kingdom",Mark Cameron Yachts,30 ft,2003,https://www.yachtworld.com/yacht/2003-hunter-306-8483224/,2022-09-07
76,Marlow-Hunter 22,"US$39,900","Deltaville, Virginia, United States","Norton's Yacht Sales, Inc.",21 ft,2022,https://www.yachtworld.com/yacht/2022-marlow--hunter-22-8389319/,2022-07-08
77,Hunter 410,"US$89,000","Curacao, Netherlands Antilles",Yacht Broker Caribbean,41 ft,2000,https://www.yachtworld.com/yacht/2000-hunter-410-8516277/,2022-09-27
78,Hunter 310,"US$45,000","Grand Rivers, Kentucky, United States",Green Turtle Bay Yacht Sales,31 ft,1999,https://www.yachtworld.com/yacht/1999-hunter-310-8056400/,2021-10-04
79,Hunter 33.5,"US$36,500","Fairhaven, Massachusetts, United States",Mattapoisett Yacht Sales,34 ft,1992,https://www.yachtworld.com/yacht/1992-hunter-33.5-8444378/,2022-08-12
80,Hunter 410,"US$69,900","Huron, Ohio, United States",RCR Sandusky,41 ft,1998,https://www.yachtworld.com/yacht/1998-hunter-410-7968034/,2021-07-28
81,Hunter 34,"US$19,500","Sandusky, Ohio, United States",RCR Sandusky,34 ft,1983,https://www.yachtworld.com/yacht/1983-hunter-34-8413001/,2022-07-25
